,KCCAns,QueryText
37,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED,ASKED ABOUT VARIETIES OF ONION ?
38,Attack of White Grub in onion =Humnasur 4 kg/acre(Patil Biotech),Asked About Attack of White Grub in onion  ?
39,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER,Flower Drop in cotton ?
40,"variety- vijay , vishal,digvijay",asked about varieties of gram?
41,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?
42,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?
43,Flower drop on tur-Spray of Plano fix 4ml/15 Lit of Water.,Asked about Flower drop on tur?
44,DRENCHING OF  CALSIBOR 40 GM +00 52 34 60 GM/15 LITERS OF WATER,ASKING ABOUT FRUIT DROP OF COCONUT  ?
45,MARKETE RATE OF PUMPKIN-800-1200 RS/QTL,FARMER ASKED ABOUT MARKET RATE of PUMPKIN?
46,Spray fame 5ml/15 Liter of Water (Flubendiamide 480SC),Attack of Caterpillar ?
47,SPRAY BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN,Attack of Jassids/Leaf hoppers ?
48,APPLICATION OF BORON HALF KG + CALCIUM NITRATE HALF KG + 00 52 34 3 KG THROUGH DRIP,ASKING ABOUT Flower Drop OF SPONGE GOURD?
49,FOR CONTROL ATTACK OF WHITE GRUB Use Thimate 4 kg / acre.,ASKED ABOUT ATTACK OF WHITE GRUB ?
50,ATTACK OF PINK BOLLWORM ON COTTON - Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ASKING ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?
51,Attack of White Fly ON COTTON - Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL,Attack of White Fly ON COTTON ?
52,ATTACK OF SUCKING PEST ON CHILLIES - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,ASKING ABOUT ATTACK OF SUCKING PEST ON CHILLIES  ?
53,FERTILIZER SPRAY FOR ONION- SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKED ABOUT FERTILIZER SPRAY FOR ONION ?
54,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKED ABOUT FLOWER DROP IN COTTON ?
55,FOR CONTROL OF BLIGHT ATTACK ON ONION  :- Spray Blue copper-30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP),FARMER ASKED ABOUT BLIGHT ATTACK ON ONION  ?
56,WEED MANAGEMENT IN ONION-SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING,WEED MANAGEMENT IN ONION ?
57,FERTILIZER APPLICATION FOR SUGARCANE APPLY 00:52:34 - 5 KILO + MICROLLA - 500 ML / ACRE THROUGH DRIP,ASKED ABOUT FERTILIZER APPLICATION FOR SUGARCANE ?
58,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED,VARIETIES OF ONION ?
59,MARKET RATE OF -300-1200/- RS/QTL,FARMER ASKED ABOUT MARKET RATE OF onion ?
60,VARIETIES OF GROUNDNUT -SB-11 TAG-24 TPG-41 TG-26 PHULE -285,VARIETIES OF GROUNDNUT ?
61,Attack of White Grub -Use Fertera10 kg /acre,Attack of White Grub ?
62,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH ?
63,attack of sucking pest and blight on onion - spray rijent 30 ml + saaf 30 gm / 15 liter water,asked about attack of sucking pest and blight on onion ?
64,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna,asked about controll of caterpillar in cotton ?
65,"Karanj Kadunim oil has insecticide properties in Karanj. This oil is used for planting animals. Due to this, external parasites will die.",asked about gad fly attack on bovine?
66,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.,ASKED ABOUT ATTACK OF BLIGHT ON ONION ?
67,Spray Plano fix 3 ml/15 Lit of Water.(NAA),ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?
68,drenchingof  Chloropyriphos 30 ml + saff 30 gm/15 Lit of Water.,ASKING ABOUT CONTROLL OF WILT ATTACK  ?
69,"Take 20 kg of nitrogen, 20 kg of phosphorus and 20 kg of potash on onion crop. After this, give 20 kg of Nitrogen per acre in 1 month. It is important to give regular water to the onion crop. During the Kharif season, after the interval of 10 to 12 days, during the summer rabi season, after 6 to 8 days, give irrigation water to the land.",asked about onion cultivation ?
70,"VARIETIES OF DRUM STICK - MORINGA, ODISI, PKM-1, PKM-2, CO-1, SIDHIVINAYAK SHEVGA, KONKAN RUCHIRA",ASKED ABOUT VARIETIES OF DRUM STICK ?
71,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1",VARIETIES OF SORGHUM ?
72,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER,FERTILIZER SPRAY FOR GROWTH?
73,"Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL

Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE","ASKED ABOUT ATTACK OF SUCKING PEST ON COTTON? 

ASKING ABOUT SPRAY FOR FLOWERING ?"
74,Fertilizer spray on onion-Spray of 19:19:19 60gm + microlla 302ml/15 liter water.,Asked about fertilizer spray on onion?
75,"beekeeping mahabaleshwar, dist- satara toll free number-?????-??????",asked about beekeeping toll free number ?
76,SPRAY BLUE COPPER 30 GM + KASUGAMYCIN 25 ML/ 15 WATER.,ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?
77,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,Attack of Thrips?
78,SPRAY Boomflower 25 -30 ml in 15 LITER WATER,FLOWER DROP in pomogranate ?
79,"VARIETIES OF BRINJAL ?



VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV",ASKED ABOUT VARIETIES OF BRINJAL ?
80,FERTILIZER SPRAY FOR GROWTH for onion - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER. 10 : 26 : 26 1 BAG/ ACRE,FERTILIZER SPRAY FOR GROWTH for onion ?
81,Spray of bio-303 15 ml/15 liter water.,ATTACK OF APHIDS ?
82,Attack of  Downy or blight  or Powdery on onion - Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer,Attack of  Downy or blight  or Powdery on onion ?
83,"onion vrieties - pusa red , arka pragati , arka niketan , light red",asked about varieties of onion ?
84,ATTACK OF LEAF MINER on gram - Spray Neem ark 30 ml/15 liter water.,asking about ATTACK OF LEAF MINER on gram ?
85,ATTACK OF APHIDS on onion - SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %),asking about ATTACK OF APHIDS on onion ?
86,"SPRAY KARATE 20 ML 





























SPRAY KARATE 20 ML /15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA",Attack of Jassids/Leaf hoppers  ON ONION?
87,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,Attack of Thrips ON COTTON ?
88,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,asked about VARIETIES OF WHEAT ?
89,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ATTACK OF APHIDS onion ?
90,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,asked about thrips attack on fenugreek ?
91,fertilizer spray for cotton:- 13: 40: 13  65 gram/ 15 liter water,farmer asked about fertilizer spray for cotton?
92,MARKET RATE OF POMEGRANATE - 2000-15000 RS/QUINTAL,ASKED ABOUT MARKET RATE OF POMEGRANATE  ?
93,potasium sonite 3 kg / acre through drip,asking about shining on pomogranate?
94,MARKET RATE OF ONION -MIN-100	 MAX-  1200  AVERAGE- 950 RS/QUINTAL,ASKED ABOUT MARKET RATE OF ONION?
95,Jassids/Leaf hoppers:- BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,Attack of Jassids/Leaf hoppers?
96,Market Rate -4950 rupees/qt.,Asking About Market Rate?
97,APPLICATION OF 10 26 26 2 BAG + UREA 1BAG,ASKING ABOUT  FERTILIZER DOSE FOR fodder sorghum?
98,"Varieties of wheat-Trambak,sharad,netravati,Panchwati.",Asked about Varieties of wheat?
99,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.,ASKED ABOUT ATTACK OF WHITE GRUB IN ONION?
100,FERTILIZER DOSE FOR SUGARCANE = 136 KG UREA + 85 KG P+ 85  KG K / HECTER,FERTILIZER DOSE FOR SUGARCANE ?
101,ATTACK OF APHIDS ON COTTON = SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,ATTACK OF APHIDS ON COTTON ?
102,LEAF CURL OF OKRA = BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,farmer asked about leaf curl of okra ?
103,Spray Blue copper -30 gm + KASUGAMYCIN /15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,ASKED ABOUT WILT ATTACK IN ONION?
104,"Spray Triazhophos 30 ml/15 liter water

Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova",ATTACK OF SHOOT BORER on Brinjal ?
105,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH FOR FENUGREEK ?
106,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,ASKED ABOUT FOR FLOWERING ON BRINJAL ?
107,"VARIETIES OF GARDEN PEA -ARKEL ,JAWAHAR-1, BONVHILA,NP-29, JK-124",ASKED ABOUT VARIETIES OF GARDEN PEA ?
108,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta,ASKING ABOUT CONTROLL OF FUNGAL ATTACK ?
109,MARKET RATE OF - 300	1200	900RS/QTL,FARMER ASKED ABOUT MARKET RATE OF ?
110,CONTROLL OF BLIGHT ATTACK on pomogranet-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on pomogranet?
111,Drenching of Chloropyriphos 40 ml / 15 lit of water.,Attack  Stem Borer?
112,United India Insurance Customer Care 1800 425 33333. Toll free Number(s): 1800 425 33333 (Mon-Fri 10 to 5.45 Pm),asked contact number of United India Insurance Customer Care?
113,FERTILIZER SPRAY FOR CABBAGE SPRAY 00 52 34 60 GM + MICROLLA 30 ML /15 Lit of Water.,FARMER ASKED FERTILIZER SPRAY FOR CABBAGE ?
114,FOR CONTROL  ATTACK OF NEMATODE ON CAPSICUM TAKE  DRENCHING OF NEMAZOLE - 30 ML / 15 LITRE WATER.,ASKED ABOUT ATTACK OF NEMATODE ON CAPSICUM ?
115,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,"Attack of Aphids,Thrips and Jassids on onion ?"
116,SPRAY XANTHONIL 30MILI + Z-78 30 GRAM/15 LITER OF WATER,ASKING ABOUT SPRAY ON POMOGRANATE?
117,PUNE MARKET RATE OF ONION  -600-1300 RS/QUINTAL,ASKED ABOUT MARKET RATE OF ONION ?
118,For control attack of caterpillar on cotton  Spray Quinolphos 30 ml / 15 liter water,Asked about attack of caterpillar on cotton ?
119,Humnasur 6 kg/acre(Patil Biotech),Attack of White Grub on sugarcane?
120,Spray m-45 30 gm + MICROLA 30 ML /15 liter water,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?
121,MARKET RATE OF ONION- MIN-300    MAX- 	800	 AVERAGE-550      RS/QTL,FARMER ASKED ABOUT MARKET RATE OF ONION ?
122,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova,asked about fertilizer dose
123,"You should be do FYM 15-17 tonne /ha. And Nitrogen 100-120 kg. + Phosphorous 50 kg. + Potash 50 kg. And sulphar 25 kg. + Zinc sulphate 5-7 kg. /hacter...

fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre",Which fertilizers use in Onion Crop?
124,Minimum support price of maize-1700/qtl.,Asked about Minimum support price of maize?
125,Spray Cabriotop 30 gm/15 Liter of Water-metiram (dithiocarbamate) Basf,FUNGAL ATTACK on pomogranate ?
126,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,ASKED ABOUT VARIETIES OF WHEAT ?
127,MARKET RATE OF onion- 1300 RS/QUINTAL,ASKED ABOUT MARKET RATE OF onion ?
128,Market rate of onian-400-995/qtl.,Asked about Market rate of onion?
129,This week weather is CLOUDY and   NO Possibility of Rainfall,Asking about weather forecast?
130,FERTILIZER DOSE:- 10 : 26 : 26 1 BAG /ACRE,FERTILIZER DOSE FOR BRINJAL ?
131,CONTROLL OF BLIGHT ATTACK on brinjal-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on brinjal?
132,MARKET RATE OF onion-300-1200	 RS/QUINTAL,ASKED ABOUT MARKET RATE OF on onion?
133,"Market price of Black Gram -

Min-5600  Max- 6000  Average- 5750  Rs./quintal",Farmer asked about market rate Black Gram ?
134,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,Attack of Thrips on Onion ?
135,SPRAY OF 19 19 19   60 GM +MICROLLA 30 ML /15 LITRE PUMP,ASKED ABOUT FRTILIZER DOSE FOR ONION ?
136,Market Rate of onion-1100 rupees/qtl,Asking About Market Rate of onion?
137,SPRAY MAGNESIUM SULPHATE 60 GM + 13:00:45 60 GM/15 LITER WATER,REDDENING OF COTTON ?
138,"Fertilizer -10: 26: 26 One Bag / Acres, SAS-1 Bags / Acres, Mahadan -10 kgs 1 Bag / Acres",ASKED ABOUT FERTILIZER DOSE FOR ONION?
139,"Market price of  - ONION

Min-1200	  Max- 1600	  Average-  1400   /quintal",Farmer asked about market rate?
140,"60 years of planting marigold Me From the middle of the summit taken 30 Me It should be planted by keeping the distance between two such plants. 60 x 30 Me Planting at the distance requires 40,000 hectare of seedlings",asking about the marigold planting ?
141,"SEED TREATMENT OF GRAM =APPLICATION 2 GM BAVISTIN + 2 GM THAIRAM / 1 KG SEED,AFTER THAN 250 GM RAIZOBIUM MIX IN JAGGARY SOLUTION THEN APPLY IN 10 KG TREATMED SEED.",ASKED ABOUT SEED TREATMENT OF GRAM ?
142,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna,asked about attack of catter pilar on okra  ?
143,FERTILIZER SPRAY ON ONION: SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKING ABOUT  FERTILIZER SPRAY ON ONION?
144,fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre,asking about fertilizer dose for onion ?
145,SPRAY 00 52 34  60 GM /15 Lit of Water.,ASKED ABOUT FERTILIZER SPRAY ON ONION FOR GROWTH ?
146,Spray Plano fix 4 ml/15 Lit of Water.(NAA) BAYER,Flower Drop?
147,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA,VARIETIES OF DRUMSTICK ?
148,CONTROL OF BLIGHT ATTACK ON TURMERIC SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA,ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC ?
149,PUNE MARKET RATE OF ONION  -600-1300  RS/QUINTAL,ASKED ABOUT MARKET RATE OF ONION  ?
150,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,VARIETIES OF WHEAT ?
151,SPRAY MICROLA 30 ML + M 45 30 GM/15 LITER WATER,YELLOWING ON BITTER GOURD ?
152,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,ASKING ABOUT REDDNING OF COTTON ?
153,FERTILIZER DOSE FOR ONION = SPRAY 19:19:19 60 GM /15 LITER WATER,FERTILIZER DOSE FOR ONION ?
154,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12",VARIETIES OF BENGAL GRAM ?
155,VARIETIES OF PAPAYA -TAIWAN -786 WASHINGTON CO-1 CO- 2 CO- 4 PUSA MAJESTY,VARIETIES OF PAPAYA ?
156,"VARIETY OF GARDEN PEA : ARKEL , JAWAHAR , PHULE PRIYA",ASKING ABOUT VAREITIES OF GARDEN PEA ?
157,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,farmer asking about fungal attack on bitter guard?
158,SPRAY 00 52 34 60 GM + microlla 30ml  /15 Lit of Water.,farmer asked about fertilizer spay on pomegranate ?
159,BLIGHT ATTACK on onion :- Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE,BLIGHT ATTACK on onion  ?
160,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,ASKING ABOUT REDDENING OF COTTON ?
161,MARKET RATE OF soybean-SHRIRAMPUR= 2900-3050 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF soybean ?
162,you can spray profex super 40 mili +asefet 30 gram /pamp water use for pink bollworm control on cotton crop,pink bollworm control on cotton crop?
163,Methyl demeton 25% flow 30 ml or dimethoate 30% water flow 26 ml for breeding of pests. Or 50 percent of methionone fluid spray 20 ml of any one of these insecticides mixed in 10 liters of water.,asked about attack of mealy bug
164,Spray of bio-303 15ml/15 liter water.,Asked about Attack of sucking pest?
165,SETS ARE TREATED WITH 100 GM CARBENDAZIM + 300 ML MALATHION /100 LITERS OF WATER FOR 10 MIN AND THEN 10 KG AZATOBACTOR+ 1.25 KG PSB /100 LITERS OF WATER FOR 30 MIN,SEED TREATMENT TO SUGARCANE SETS ?
166,Spray Confidor 10 ml /15 litar water (Imidacloprid 17.8 %),attack of sucking pest on chilli?
167,"variety- varun,HPR -35_3",asked varieties of french bean
168,MARKET RATE OF COTTON- QUINTAL Min - 5150  Max -5211  Average-5211,Farmer Asked About Market Rate?
169,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK,Asking about weather forecast ?
170,spray dimtheote 2 ml / 15 litre water,asked about snail control on grass ?
171,"Sugar Baby - This caste is popular in Maharashta. The fruit is medium size of 4 to 5 kg, and the color of the fruit is huge in diamonds and the red is very sweet and the seeds are small.",asking about watermalon variety?
172,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on onion ?
173,BLIGHT ATTACK ON GINGER-Spray Score  8 ml/15 Liter of Water (Difenconyazol 25%EC)-Syngenta,ASKED ABOUT BLIGHT ATTACK ON GINGER  ?
174,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH ON GINGER?
175,MARKET RATE OF ONION -LASALGAON-400-1314 RS/QUINTAL,ASKED ABOUT MARKET RATE OF  ONION?
176,SPRAY Pendimethylin 1-1.5 kg a.i/ha in 800-1000 lit of water,WEED MANAGEMENT IN BENGAL GRAM ?
177,onion market rate of =100-900 RS /QUINTAL,asked about market rate of ONION?
178,"Central Poultry Development Organization, Mumbai Phone No.222-26858572 / 022-26858840",AASKED ABOUT CONTACT NUMBER Central Poultry Development Organization
179,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS,SEED TREATMENT FOR BENGAL GRAM ?
180,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova,Attack  Stem Borer SUGARCANE?
181,"You should be do FYM 15-17 tonne /ha. And Nitrogen 100-120 kg. + Phosphorous 50 kg. + Potash 50 kg. And sulphar 25 kg. + Zinc sulphate 5-7 kg. /hacter...

fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre",ASKED ABOUT FERTILIZER DOSE FOR ONION ?
182,FERTILIZER drenching FOR GROWTH on sugarcane-drenching of 19 19 19 3kilo + MICROLLA 300 ML+humic acid-300 mili /200LITERS OF WATER.,FERTILIZER drenching FOR GROWTH on sugarcane?
183,MARKET RATE OF onion  -100-1600 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF onion  ?
184,MARKET RATE OF 400-1500 RS  /QTL,FARMER ASKED ABOUT MARKET RATE OF ONION   ?
185,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF POD BORER ? ???? ???????? ???
186,SPRAY 00 52 34 3 KG + MICROLLA  300 ML /200 LITERS OF WATER,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH?
187,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,Flower Drop? ??? ??
188,AVERAGE MARKET RATE OF ONION - 1100 RS/QTL,FARMER ASKED ABOUT MARKET RATE OF ONION?
189,spray (Carbosulfan 25% EC)20 ml/15 liter water.,ATTACK OF SUCKING PEST ?
190,This Week Weather Is Partly Cloudy & Possibility of light - medium Rainfall.,Asking About Weather Forecast?
191,drenching`00 52 34 300 GM /200 Lit of Water.,FERTILIZER SPRAY ON guava?
192,MARKET RATE OF SOYBEAN -2800-3000 RS/QUINTAL,ASKED ABOUT MARKET RATE OF SOYBEAN ?
