QueryText,KCCAns
ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER
asking about FERTILIZER SPRAY ON red gram ?,FERTILIZER SPRAY ON red gram - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
asking about FERTILIZER SPRAY ON red gram ?,FERTILIZER SPRAY ON red gram - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKING ABOUT  DRENCHING ON FENUGREEK?,DRENCHING ON FENUGREEK-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
ASKING ABOUT  DRENCHING ON FENUGREEK?,DRENCHING ON FENUGREEK-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.
ASKING ABOUT Attack of White Grub ON ONION ?,Attack of White Grub ON ONION - Drenching of Chloropyriphos 40 ml / 15 lit of water.
ASKING ABOUT Attack of White Grub ON ONION ?,Attack of White Grub ON ONION - Drenching of Chloropyriphos 40 ml / 15 lit of water.
asking about VARIETIES OF CHILLI ?,"VARIETIES OF CHILLI -PUSA JWALA ,SANKESHWARI-32 ,TEJSWINI, SITARA, PHULE JYOTI, PANT C, AGNIREKHA."
asking about VARIETIES OF CHILLI ?,"VARIETIES OF CHILLI -PUSA JWALA ,SANKESHWARI-32 ,TEJSWINI, SITARA, PHULE JYOTI, PANT C, AGNIREKHA."
Asking About ahmadnagar  Market Rate of soyabin ?,Market Rate - AHMEDNAGAR QUINTAL 675 -2850	average	2950  rupees/qt.
Asking About ahmadnagar  Market Rate of soyabin ?,Market Rate - AHMEDNAGAR QUINTAL 675 -2850	average	2950  rupees/qt.
Attack of Fruit Borer on brinjal ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India
Attack of Fruit Borer on brinjal ?,Spray Coragen 5ml/15 Lit of Water.( chlorantraniliprole 18.5% SC) Dupont India
ASKED ABOUT APMC PANAN CONTACT NUMBER ?,"APMC PANAN CONTACT NUMBER= 

Directorate of Marketing, Maharashtra State Pune

3rd floor, new intermediate building,

Ambedkar Wellsley Road,

Pune Maharashtra- 411 001.

Telephone number 020-26126628, 26126785

email-dirmktms @ gmai"
ASKED ABOUT APMC PANAN CONTACT NUMBER ?,"APMC PANAN CONTACT NUMBER= 

Directorate of Marketing, Maharashtra State Pune

3rd floor, new intermediate building,

Ambedkar Wellsley Road,

Pune Maharashtra- 411 001.

Telephone number 020-26126628, 26126785

email-dirmktms @ gmai"
FARMER ASKED ABOUT MARKET RATE OF BAJRA ?,"MARKET RATE OF BAJRA -1311,	1311,	1311 RS/QTL"
FARMER ASKED ABOUT MARKET RATE OF BAJRA ?,"MARKET RATE OF BAJRA -1311,	1311,	1311 RS/QTL"
ASKED ABOUT MARKET RATE OF POMOGRANATE ?,RAHATA	Bhagwa	QUINTAL	2635	250	15000	6000
ASKED ABOUT MARKET RATE OF POMOGRANATE ?,RAHATA	Bhagwa	QUINTAL	2635	250	15000	6000
Asked about Attack of Thrips on onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
Asked about Attack of Thrips on onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
ASKING ABOUT ATTACK OF SUCKING PEST ?,Spray Actra 5 gm+ M 45 30 GM/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ASKING ABOUT ATTACK OF SUCKING PEST ?,Spray Actra 5 gm+ M 45 30 GM/15 Liter of Water(Thiomithoxom 25%)-Syngenta
WEED MANAGEMENT IN jowar  ?,"SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER"
WEED MANAGEMENT IN jowar  ?,"SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER"
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
ATTACK OF SUCKING PEST ON POMOGRANATE ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
ATTACK OF SUCKING PEST ON POMOGRANATE ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
ASKING ABOUT FLOWER DROP OF COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
ASKING ABOUT FLOWER DROP OF COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF GUAVA FRUIT?,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER
ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF GUAVA FRUIT?,00:52:34- 60 GRAM + MICROLA- 30 MILI / 15 LITER WATER
Asked about Attack of Stem Borer on sugarcane?,Attack of Stem Borer on sugarcane-SPRAY of NUVAN 20 ML/ 15 LITERS OF WATER
Asked about Attack of Stem Borer on sugarcane?,Attack of Stem Borer on sugarcane-SPRAY of NUVAN 20 ML/ 15 LITERS OF WATER
ASKED ABOUT GROWTH OF POMEGRANATE FRUITS?,GROWTH OF POMEGRANATE FRUITS -00:52:34   3 kg  /ACRE
ASKED ABOUT GROWTH OF POMEGRANATE FRUITS?,GROWTH OF POMEGRANATE FRUITS -00:52:34   3 kg  /ACRE
Asking About Market Rate ONION ?,Market Rate of OBNION FOR SANGAMNER MARKET   300- 1081	rupees/qtl
Asking About Market Rate ONION ?,Market Rate of OBNION FOR SANGAMNER MARKET   300- 1081	rupees/qtl
Asked about animal husbandry department ?,animal husbandry department contact to dr. Jagdish Gudevar 9730066847
Asked about animal husbandry department ?,animal husbandry department contact to dr. Jagdish Gudevar 9730066847
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
ASKED ABOUT DROPPING OF FLOWER IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
ASKED ABOUT DROPPING OF FLOWER IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
asking about ATTACK OF POD BORER on brinjal ?,ATTACK OF POD BORER on brinjal - Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection
asking about ATTACK OF POD BORER on brinjal ?,ATTACK OF POD BORER on brinjal - Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection
ATTACK OF APHIDS on onion ?,Spray Actra 5 gm + Bavistine 30gm /15 Liter of Water (Thiomithoxom 25%)-Syngenta
ATTACK OF APHIDS on onion ?,Spray Actra 5 gm + Bavistine 30gm /15 Liter of Water (Thiomithoxom 25%)-Syngenta
asking about ATTACK OF APHIDS in onion ?,ATTACK OF APHIDS in onion - Spray Actra 5 gm + Bavistine 30gm /15 liter of water.
asking about ATTACK OF APHIDS in onion ?,ATTACK OF APHIDS in onion - Spray Actra 5 gm + Bavistine 30gm /15 liter of water.
ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19  60 GM/15 litre water
ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19  60 GM/15 litre water
ASKED ABOUT VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
ASKED ABOUT VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
Asked About Attack of White Grub in onion  ?,Attack of White Grub in onion =Humnasur 4 kg/acre(Patil Biotech)
Asked About Attack of White Grub in onion  ?,Attack of White Grub in onion =Humnasur 4 kg/acre(Patil Biotech)
Flower Drop in cotton ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER
Flower Drop in cotton ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER
asked about varieties of gram?,"variety- vijay , vishal,digvijay"
asked about varieties of gram?,"variety- vijay , vishal,digvijay"
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268
FERTILIZER SPRAY ON ONION ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
FERTILIZER SPRAY ON ONION ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
Asked about Flower drop on tur?,Flower drop on tur-Spray of Plano fix 4ml/15 Lit of Water.
Asked about Flower drop on tur?,Flower drop on tur-Spray of Plano fix 4ml/15 Lit of Water.
ASKING ABOUT FRUIT DROP OF COCONUT  ?,DRENCHING OF  CALSIBOR 40 GM +00 52 34 60 GM/15 LITERS OF WATER
ASKING ABOUT FRUIT DROP OF COCONUT  ?,DRENCHING OF  CALSIBOR 40 GM +00 52 34 60 GM/15 LITERS OF WATER
FARMER ASKED ABOUT MARKET RATE of PUMPKIN?,MARKETE RATE OF PUMPKIN-800-1200 RS/QTL
FARMER ASKED ABOUT MARKET RATE of PUMPKIN?,MARKETE RATE OF PUMPKIN-800-1200 RS/QTL
Attack of Caterpillar ?,Spray fame 5ml/15 Liter of Water (Flubendiamide 480SC)
Attack of Caterpillar ?,Spray fame 5ml/15 Liter of Water (Flubendiamide 480SC)
Attack of Jassids/Leaf hoppers ?,SPRAY BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
Attack of Jassids/Leaf hoppers ?,SPRAY BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
ASKING ABOUT Flower Drop OF SPONGE GOURD?,APPLICATION OF BORON HALF KG + CALCIUM NITRATE HALF KG + 00 52 34 3 KG THROUGH DRIP
ASKING ABOUT Flower Drop OF SPONGE GOURD?,APPLICATION OF BORON HALF KG + CALCIUM NITRATE HALF KG + 00 52 34 3 KG THROUGH DRIP
ASKED ABOUT ATTACK OF WHITE GRUB ?,FOR CONTROL ATTACK OF WHITE GRUB Use Thimate 4 kg / acre.
ASKED ABOUT ATTACK OF WHITE GRUB ?,FOR CONTROL ATTACK OF WHITE GRUB Use Thimate 4 kg / acre.
Asking About Market Rate ?,Market Rate of maize  1351-1428	 rupees/qtl
Asking About Market Rate ?,Market Rate of maize  1351-1428	 rupees/qtl
ASKED ABOUT ATTACK OF WHITE GRUB ?,HUMNASUR 7 KG /ACRE
ASKED ABOUT ATTACK OF WHITE GRUB ?,HUMNASUR 7 KG /ACRE
ASKING ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?,ATTACK OF PINK BOLLWORM ON COTTON - Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ASKING ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?,ATTACK OF PINK BOLLWORM ON COTTON - Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
Attack of White Fly ON COTTON ?,Attack of White Fly ON COTTON - Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
Attack of White Fly ON COTTON ?,Attack of White Fly ON COTTON - Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
ASKING ABOUT ATTACK OF SUCKING PEST ON CHILLIES  ?,ATTACK OF SUCKING PEST ON CHILLIES - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
ASKING ABOUT ATTACK OF SUCKING PEST ON CHILLIES  ?,ATTACK OF SUCKING PEST ON CHILLIES - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
ASKED ABOUT FERTILIZER SPRAY FOR ONION ?,FERTILIZER SPRAY FOR ONION- SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKED ABOUT FERTILIZER SPRAY FOR ONION ?,FERTILIZER SPRAY FOR ONION- SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKED ABOUT FLOWER DROP IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
ASKED ABOUT FLOWER DROP IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
FARMER ASKED ABOUT BLIGHT ATTACK ON ONION  ?,FOR CONTROL OF BLIGHT ATTACK ON ONION  :- Spray Blue copper-30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)
FARMER ASKED ABOUT BLIGHT ATTACK ON ONION  ?,FOR CONTROL OF BLIGHT ATTACK ON ONION  :- Spray Blue copper-30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)
WEED MANAGEMENT IN ONION ?,WEED MANAGEMENT IN ONION-SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
WEED MANAGEMENT IN ONION ?,WEED MANAGEMENT IN ONION-SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
ASKED ABOUT FERTILIZER APPLICATION FOR SUGARCANE ?,FERTILIZER APPLICATION FOR SUGARCANE APPLY 00:52:34 - 5 KILO + MICROLLA - 500 ML / ACRE THROUGH DRIP
ASKED ABOUT FERTILIZER APPLICATION FOR SUGARCANE ?,FERTILIZER APPLICATION FOR SUGARCANE APPLY 00:52:34 - 5 KILO + MICROLLA - 500 ML / ACRE THROUGH DRIP
VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED
WEED MANAGEMENT IN ONION ?,SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
WEED MANAGEMENT IN ONION ?,SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF -300-1200/- RS/QTL
FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF -300-1200/- RS/QTL
VARIETIES OF GROUNDNUT ?,VARIETIES OF GROUNDNUT -SB-11 TAG-24 TPG-41 TG-26 PHULE -285
VARIETIES OF GROUNDNUT ?,VARIETIES OF GROUNDNUT -SB-11 TAG-24 TPG-41 TG-26 PHULE -285
Attack of White Grub ?,Attack of White Grub -Use Fertera10 kg /acre
Attack of White Grub ?,Attack of White Grub -Use Fertera10 kg /acre
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
asked about attack of sucking pest and blight on onion ?,attack of sucking pest and blight on onion - spray rijent 30 ml + saaf 30 gm / 15 liter water
asked about attack of sucking pest and blight on onion ?,attack of sucking pest and blight on onion - spray rijent 30 ml + saaf 30 gm / 15 liter water
asked about controll of caterpillar in cotton ?,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
asked about controll of caterpillar in cotton ?,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
asked about gad fly attack on bovine?,"Karanj Kadunim oil has insecticide properties in Karanj. This oil is used for planting animals. Due to this, external parasites will die."
asked about gad fly attack on bovine?,"Karanj Kadunim oil has insecticide properties in Karanj. This oil is used for planting animals. Due to this, external parasites will die."
ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.
ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.
ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA)
ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA)
ASKING ABOUT CONTROLL OF WILT ATTACK  ?,drenchingof  Chloropyriphos 30 ml + saff 30 gm/15 Lit of Water.
ASKING ABOUT CONTROLL OF WILT ATTACK  ?,drenchingof  Chloropyriphos 30 ml + saff 30 gm/15 Lit of Water.
asked about onion cultivation ?,"Take 20 kg of nitrogen, 20 kg of phosphorus and 20 kg of potash on onion crop. After this, give 20 kg of Nitrogen per acre in 1 month. It is important to give regular water to the onion crop. During the Kharif season, after the interval of 10 to 12 days, during the summer rabi season, after 6 to 8 days, give irrigation water to the land."
asked about onion cultivation ?,"Take 20 kg of nitrogen, 20 kg of phosphorus and 20 kg of potash on onion crop. After this, give 20 kg of Nitrogen per acre in 1 month. It is important to give regular water to the onion crop. During the Kharif season, after the interval of 10 to 12 days, during the summer rabi season, after 6 to 8 days, give irrigation water to the land."
ASKED ABOUT VARIETIES OF DRUM STICK ?,"VARIETIES OF DRUM STICK - MORINGA, ODISI, PKM-1, PKM-2, CO-1, SIDHIVINAYAK SHEVGA, KONKAN RUCHIRA"
ASKED ABOUT VARIETIES OF DRUM STICK ?,"VARIETIES OF DRUM STICK - MORINGA, ODISI, PKM-1, PKM-2, CO-1, SIDHIVINAYAK SHEVGA, KONKAN RUCHIRA"
VARIETIES OF SORGHUM ?,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1"
VARIETIES OF SORGHUM ?,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1"
FERTILIZER SPRAY FOR GROWTH?,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER
FERTILIZER SPRAY FOR GROWTH?,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER
"ASKED ABOUT ATTACK OF SUCKING PEST ON COTTON? 

ASKING ABOUT SPRAY FOR FLOWERING ?","Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL

Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE"
"ASKED ABOUT ATTACK OF SUCKING PEST ON COTTON? 

ASKING ABOUT SPRAY FOR FLOWERING ?","Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL

Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE"
Asked about fertilizer spray on onion?,Fertilizer spray on onion-Spray of 19:19:19 60gm + microlla 302ml/15 liter water.
Asked about fertilizer spray on onion?,Fertilizer spray on onion-Spray of 19:19:19 60gm + microlla 302ml/15 liter water.
asked about beekeeping toll free number ?,"beekeeping mahabaleshwar, dist- satara toll free number-?????-??????"
asked about beekeeping toll free number ?,"beekeeping mahabaleshwar, dist- satara toll free number-?????-??????"
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY BLUE COPPER 30 GM + KASUGAMYCIN 25 ML/ 15 WATER.
ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY BLUE COPPER 30 GM + KASUGAMYCIN 25 ML/ 15 WATER.
Attack of Thrips?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
Attack of Thrips?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
FLOWER DROP in pomogranate ?,SPRAY Boomflower 25 -30 ml in 15 LITER WATER
FLOWER DROP in pomogranate ?,SPRAY Boomflower 25 -30 ml in 15 LITER WATER
ASKED ABOUT VARIETIES OF BRINJAL ?,"VARIETIES OF BRINJAL ?



VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV"
ASKED ABOUT VARIETIES OF BRINJAL ?,"VARIETIES OF BRINJAL ?



VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV"
FERTILIZER SPRAY FOR GROWTH for onion ?,FERTILIZER SPRAY FOR GROWTH for onion - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER. 10 : 26 : 26 1 BAG/ ACRE
FERTILIZER SPRAY FOR GROWTH for onion ?,FERTILIZER SPRAY FOR GROWTH for onion - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER. 10 : 26 : 26 1 BAG/ ACRE
ATTACK OF APHIDS ?,Spray of bio-303 15 ml/15 liter water.
ATTACK OF APHIDS ?,Spray of bio-303 15 ml/15 liter water.
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of  Downy or blight  or Powdery on onion ?,Attack of  Downy or blight  or Powdery on onion - Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer
Attack of  Downy or blight  or Powdery on onion ?,Attack of  Downy or blight  or Powdery on onion - Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer
asked about varieties of onion ?,"onion vrieties - pusa red , arka pragati , arka niketan , light red"
asked about varieties of onion ?,"onion vrieties - pusa red , arka pragati , arka niketan , light red"
asking about ATTACK OF LEAF MINER on gram ?,ATTACK OF LEAF MINER on gram - Spray Neem ark 30 ml/15 liter water.
asking about ATTACK OF LEAF MINER on gram ?,ATTACK OF LEAF MINER on gram - Spray Neem ark 30 ml/15 liter water.
asking about ATTACK OF APHIDS on onion ?,ATTACK OF APHIDS on onion - SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
asking about ATTACK OF APHIDS on onion ?,ATTACK OF APHIDS on onion - SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
Attack of Jassids/Leaf hoppers  ON ONION?,"SPRAY KARATE 20 ML 





























SPRAY KARATE 20 ML /15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA"
Attack of Jassids/Leaf hoppers  ON ONION?,"SPRAY KARATE 20 ML 





























SPRAY KARATE 20 ML /15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA"
Attack of Thrips ON COTTON ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
Attack of Thrips ON COTTON ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
asked about VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
asked about VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349
Attack of Thrips?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
Attack of Thrips?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ATTACK OF APHIDS onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
ATTACK OF APHIDS onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
asked about thrips attack on fenugreek ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
asked about thrips attack on fenugreek ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
